:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2016 Nov 07 0400 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2016 05        27.9    28.9    26.9       93.8    94.8    92.8
2016 06        27.8    29.8    25.8       92.1    93.1    91.1
2016 07        27.7    30.7    24.7       90.5    92.5    88.5
2016 08        27.6    32.6    22.6       89.2    92.2    86.2
2016 09        27.4    32.4    22.4       88.3    92.3    84.3
2016 10        27.5    33.5    21.5       87.8    91.8    83.8
2016 11        27.6    34.6    20.6       87.0    92.0    82.0
2016 12        28.0    35.0    21.0       86.7    92.7    80.7
2017 01        28.8    36.8    20.8       86.5    93.5    79.5
2017 02        28.8    37.8    19.8       86.1    94.1    78.1
2017 03        28.3    37.3    19.3       85.6    93.6    77.6
2017 04        28.2    38.2    18.2       84.9    93.9    75.9
2017 05        27.6    37.6    17.6       84.0    93.0    75.0
2017 06        26.1    36.1    16.1       82.6    91.6    73.6
2017 07        24.9    34.9    14.9       81.5    90.5    72.5
2017 08        23.7    33.7    13.7       80.4    89.4    71.4
2017 09        22.5    32.5    12.5       79.3    88.3    70.3
2017 10        21.4    31.4    11.4       78.3    87.3    69.3
2017 11        20.3    30.3    10.3       77.3    86.3    68.3
2017 12        19.2    29.2     9.2       76.4    85.4    67.4
2018 01        18.2    28.2     8.2       75.4    84.4    66.4
2018 02        17.2    27.2     7.2       74.5    83.5    65.5
2018 03        16.3    26.3     6.3       73.7    82.7    64.7
2018 04        15.4    25.4     5.4       72.8    81.8    63.8
2018 05        14.5    24.5     4.5       72.1    81.1    63.1
2018 06        13.7    23.7     3.7       71.3    80.3    62.3
2018 07        12.9    22.9     2.9       70.6    79.6    61.6
2018 08        12.2    22.2     2.2       69.9    78.9    60.9
2018 09        11.5    21.5     1.5       69.2    78.2    60.2
2018 10        10.8    20.8     0.8       68.6    77.6    60.0
2018 11        10.1    20.1     0.1       68.0    77.0    60.0
2018 12         9.5    19.5     0.0       67.4    76.4    60.0
2019 01         8.9    18.9     0.0       66.9    75.9    60.0
2019 02         8.3    18.3     0.0       66.3    75.3    60.0
2019 03         7.8    17.8     0.0       65.9    74.9    60.0
2019 04         7.3    17.3     0.0       65.4    74.4    60.0
2019 05         6.8    16.8     0.0       65.0    74.0    60.0
2019 06         6.4    16.4     0.0       64.5    73.5    60.0
2019 07         5.9    15.9     0.0       64.1    73.1    60.0
2019 08         5.5    15.5     0.0       63.8    72.8    60.0
2019 09         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
